Rule,Entropy across targets,Length Following Antecedent,Majority Class
"[('Color', 'Tan/Silver')]",[1.09801239 0.74632054],41,['Return to Owner' 'none']
"[('Color', 'Gray Tabby/White')]",[1.14299238 1.64935431],196,['Transfer' 'none']
"[('Color', 'White/Calico')]",[1.07600726 1.2837907 ],41,['Adoption' 'none']
"[('Color', 'Calico Point')]",[1.14849528 1.46454374],61,['Adoption' 'none']
"[('Color', 'White/Tan')]",[1.16617362 1.04134318],2146,['Adoption' 'none']
"[('Color', 'Black Tabby')]",[1.00213698 1.41926229],249,['Transfer' 'Partner']
"[('Color', 'Sable')]",[1.1619398  1.16623123],676,['Adoption' 'none']
"[('Color', 'Sable/White')]",[1.07299571 1.2184437 ],317,['Adoption' 'none']
"[('Color', 'Chocolate/Tan')]",[1.09256269 0.91887015],307,['Adoption' 'none']
"[('Color', 'White/Orange Tabby')]",[1.0086595 1.4630124],228,['Adoption' 'none']
"[('Color', 'Black Brindle/White')]",[1.18591828 0.91148913],281,['Adoption' 'none']
"[('Color', 'Tortie/Black')]",[1.20842775 1.72678829],32,['Adoption' 'none']
"[('Color', 'Orange')]",[1.26448076 1.60506143],198,['Transfer' 'Partner']
"[('Color', 'Orange/White')]",[1.33193173 1.5720552 ],219,['Transfer' 'Partner']
"[('Color', 'White/Brown Brindle')]",[1.17332093 1.02177626],542,['Adoption' 'none']
"[('Color', 'Red/Tan')]",[1.33927029 0.97643616],99,['Adoption' 'none']
"[('Color', 'Chocolate Point')]",[1.11522618 1.46878646],82,['Adoption' 'none']
"[('Color', 'Tortie/White')]",[0.91974786 1.37343294],150,['Adoption' 'none']
"[('Color', 'Red Tick')]",[0.98167527 0.9946213 ],119,['Adoption' 'none']
"[('Color', 'Sable/Black')]",[1.00689593 1.05345425],56,['Adoption' 'none']
"[('Color', 'Brown Brindle/Black')]",[1.26257165 1.15089736],100,['Adoption' 'none']
"[('Color', 'Tan/Brown')]",[1.33769774 1.06458164],184,['Adoption' 'none']
"[('Color', 'Black/Black')]",[1.31465674 1.5138064 ],211,['Transfer' 'none']
"[('Color', 'Tortie Point')]",[1.01730096 1.37472008],152,['Adoption' 'none']
"[('Color', 'White/Orange')]",[1.24735209 1.40986864],150,['Adoption' 'none']
"[('Color', 'White/Red')]",[1.21003277 1.11475478],289,['Adoption' 'none']
"[('Color', 'Yellow Brindle/White')]",[1.02898516 0.92316788],75,['Adoption' 'none']
"[('Color', 'Blue Merle')]",[1.11546341 0.98149008],284,['Adoption' 'none']
"[('Color', 'Black/Brown Brindle')]",[0.9859888  0.99230987],173,['Adoption' 'none']
"[('Color', 'White/Chocolate')]",[1.19444327 1.13232999],161,['Adoption' 'none']
"[('Color', 'Gold/Tan')]",[0.56726089 0.91051874],35,['Adoption' 'none']
"[('Color', 'Black Brindle')]",[1.07612485 0.92905534],157,['Adoption' 'none']
"[('Color', 'Brown Tabby/Black')]",[1.16420048 1.3059344 ],85,['Transfer' 'Partner']
"[('Color', 'Black/Gray')]",[1.43943245 1.49429524],611,['Euthanasia' 'none']
"[('Color', 'Red/Black')]",[1.23881995 1.1065781 ],281,['Adoption' 'none']
"[('Color', 'Red/Brown')]",[1.50058723 1.16095085],69,['Adoption' 'none']
"[('Color', 'Brown/Tricolor')]",[1.01592153 0.91511856],168,['Adoption' 'none']
"[('Color', 'Gold/White')]",[1.22536352 1.09016115],80,['Adoption' 'none']
"[('Color', 'Tan/Tricolor')]",[1.00497461 1.02684647],38,['Adoption' 'none']
"[('Color', 'Tricolor/Brown')]",[1.14929137 0.97233636],81,['Adoption' 'none']
"[('Color', 'Red Merle')]",[1.13930133 0.9738471 ],75,['Adoption' 'none']
"[('Color', 'Sable/Tan')]",[0.93768627 0.65597573],42,['Adoption' 'none']
"[('Color', 'White/Fawn')]",[0.78546347 0.71813814],34,['Adoption' 'none']
"[('Color', 'Buff/Black')]",[1.11976526 0.83973244],30,['Adoption' 'none']
"[('Color', 'Lynx Point/White')]",[1.06537949 1.38138984],95,['Adoption' 'none']
"[('Color', 'Agouti')]",[0.95510331 1.09005966],33,['Adoption' 'none']
"[('Color', 'White/Red Tick')]",[1.03346192 1.09842051],38,['Adoption' 'none']
"[('Color', 'Tan/Cream')]",[0.99619346 0.78275902],74,['Adoption' 'none']
"[('Color', 'Buff/White')]",[1.2088815  1.00477468],165,['Adoption' 'none']
"[('Color', 'Blue Merle/White')]",[1.04697279 0.93098024],228,['Adoption' 'none']
"[('Color', 'Black Tabby/White')]",[0.93626657 1.31350915],83,['Adoption' 'Partner']
"[('Color', 'Gray/Tan')]",[1.28947843 1.09672443],60,['Adoption' 'none']
"[('Color', 'Red Tick/White')]",[1.04067942 1.00642702],60,['Adoption' 'none']
"[('Color', 'Blue Merle/Tan')]",[1.06241335 0.6644838 ],61,['Adoption' 'none']
"[('Color', 'Gray/Brown')]",[1.59195072 1.32575126],58,['Euthanasia' 'none']
"[('Color', 'Gray/Gray')]",[1.37781951 1.61008547],39,['Transfer' 'Partner']
"[('Color', 'Pink')]",[1.06018831 1.47192741],38,['Transfer' 'Partner']
"[('Color', 'Tricolor/Black')]",[1.13943248 0.9574842 ],79,['Adoption' 'none']
"[('Color', 'Green')]",[1.29090578 1.16549683],45,['Transfer' 'Partner']
"[('Color', 'White/Blue Tabby')]",[1.00485772 1.55813534],119,['Adoption' 'none']
"[('Color', 'Tan/Gray')]",[1.25079436 0.81066877],44,['Adoption' 'none']
"[('Color', 'Silver')]",[1.27544883 0.92984764],69,['Adoption' 'none']
"[('Color', 'Yellow/White')]",[1.06142692 0.94082853],177,['Adoption' 'none']
"[('Color', 'Brown/Cream')]",[0.99472632 0.75623879],37,['Adoption' 'none']
"[('Color', 'White/Blue Merle')]",[1.17497845 0.79708622],67,['Adoption' 'none']
"[('Color', 'White/Yellow')]",[1.08761311 1.11527462],41,['Adoption' 'none']
"[('Color', 'Blue Cream')]",[1.16250488 1.54891674],90,['Adoption' 'none']
"[('Color', 'Blue/Tan')]",[1.26512811 0.95495009],136,['Adoption' 'none']
"[('Color', 'Brown Merle')]",[1.04451608 0.91426378],150,['Adoption' 'none']
"[('Color', 'Black Smoke/White')]",[1.03973286 1.10342571],57,['Adoption' 'none']
"[('Color', 'Brown Merle/White')]",[1.06954617 0.84156337],156,['Adoption' 'none']
"[('Color', 'Blue Tick/White')]",[1.18107    1.05202468],35,['Adoption' 'none']
"[('Color', 'Tricolor/White')]",[0.97250299 0.87811811],150,['Adoption' 'none']
"[('Color', 'Tan/Tan')]",[1.18594475 1.02768741],52,['Adoption' 'none']
"[('Color', 'White/Cream Tabby')]",[0.96073517 1.31819979],54,['Adoption' 'none']
"[('Color', 'Blue Point')]",[1.10431122 1.49168183],100,['Adoption' 'none']
"[('Color', 'Red Merle/White')]",[1.09346991 0.84640289],58,['Adoption' 'none']
"[('Color', 'White/Black Brindle')]",[1.15071426 1.08219818],34,['Adoption' 'none']
"[('Color', 'Silver/Tan')]",[1.04756365 0.87250622],44,['Return to Owner' 'none']
"[('Color', 'Yellow Brindle')]",[1.12912013 0.95810915],37,['Adoption' 'none']
"[('Color', 'Apricot')]",[1.1595863  0.85264355],88,['Adoption' 'none']
"[('Color', 'Brown/Gray')]",[1.34378247 1.73651683],91,['Euthanasia' 'none']
"[('Color', 'Black/Cream')]",[1.18641962 0.93275523],58,['Adoption' 'none']
"[('Color', 'Blue Merle/Black')]",[1.13391331 1.09461997],32,['Adoption' 'none']
"[('Color', 'Buff/Tan')]",[1.07173009 0.84491277],32,['Adoption' 'none']
"[('Color', 'Cream/Black')]",[1.22296342 0.87592938],81,['Adoption' 'none']
"[('Color', 'Blue Tiger/White')]",[1.1325788 0.954737 ],44,['Adoption' 'none']
"[('Color', 'Tricolor/Brown Brindle')]",[0.37080236 0.1390608 ],32,['Return to Owner' 'none']
"[('Color', 'Brown/Red')]",[1.17517196 1.31794007],60,['Euthanasia' 'none']
"[('Color', 'Blue Tick/Black')]",[0.93165087 0.75530186],49,['Adoption' 'none']
"[('Color', 'Blue Tick/Tan')]",[0.33987883 0.65466956],36,['Adoption' 'none']
"[('Color', 'White/Gray Tabby')]",[1.21320682 1.48606376],34,['Adoption' 'none']
"[('Color', 'Black Brindle/Brown')]",[1.16234735 0.74622059],36,['Adoption' 'none']
"[('Age upon Outcome', '15 years')]",[1.37466274 1.24111277],420,['Return to Owner' 'none']
"[('Age upon Outcome', '1 month')]",[1.11205974 1.41066051],6523,['Transfer' 'Partner']
"[('Age upon Outcome', '4 years')]",[1.29171744 1.14913838],5178,['Adoption' 'none']
"[('Age upon Outcome', '3 years')]",[1.33500936 1.24021515],8691,['Adoption' 'none']
"[('Age upon Outcome', '5 years')]",[1.324534   1.16247195],4694,['Adoption' 'none']
"[('Age upon Outcome', '2 months')]",[0.55751387 1.07979994],20603,['Adoption' 'none']
"[('Age upon Outcome', '11 years')]",[1.28250643 1.12513319],826,['Return to Owner' 'none']
"[('Age upon Outcome', '1 week')]",[0.33844765 0.37275644],857,['Transfer' 'Partner']
"[('Age upon Outcome', '10 months')]",[1.00700602 1.0209767 ],2115,['Adoption' 'none']
"[('Age upon Outcome', '2 years')]",[1.40884868 1.48163688],24511,['Adoption' 'none']
"[('Age upon Outcome', '3 months')]",[0.71276927 1.27673142],8138,['Adoption' 'none']
"[('Age upon Outcome', '5 months')]",[1.05168404 1.31349625],3899,['Adoption' 'none']
"[('Age upon Outcome', '1 year')]",[1.36167683 1.46295317],25401,['Adoption' 'none']
"[('Age upon Outcome', '14 years')]",[1.37271932 1.23897257],469,['Return to Owner' 'none']
"[('Age upon Outcome', '4 months')]",[0.88530375 1.29618472],5329,['Adoption' 'none']
"[('Age upon Outcome', '7 years')]",[1.2889384 1.1529832],2670,['Adoption' 'none']
"[('Age upon Outcome', '6 years')]",[1.29326658 1.12245588],3017,['Adoption' 'none']
"[('Age upon Outcome', '11 months')]",[1.03908774 1.02617787],996,['Adoption' 'none']
"[('Age upon Outcome', '9 months')]",[1.12607364 1.19210877],1542,['Adoption' 'none']
"[('Age upon Outcome', '3 days')]",[0.34668522 0.39516435],527,['Transfer' 'Partner']
"[('Age upon Outcome', '2 weeks')]",[0.35604219 0.41594359],2562,['Transfer' 'Partner']
"[('Age upon Outcome', '7 months')]",[1.0341837  1.25192181],2035,['Adoption' 'none']
"[('Age upon Outcome', '10 years')]",[1.41196897 1.30557793],2144,['Return to Owner' 'none']
"[('Age upon Outcome', '3 weeks')]",[0.32827821 0.35432829],2570,['Transfer' 'Partner']
"[('Age upon Outcome', '8 months')]",[1.02631374 1.19357723],2396,['Adoption' 'none']
"[('Age upon Outcome', '2 days')]",[0.31476001 0.35945178],491,['Transfer' 'Partner']
"[('Age upon Outcome', '4 weeks')]",[0.83937027 1.01344076],2185,['Transfer' 'Partner']
"[('Age upon Outcome', '6 months')]",[1.16781809 1.43052418],3729,['Adoption' 'none']
"[('Age upon Outcome', '8 years')]",[1.31820988 1.22362914],2605,['Adoption' 'none']
"[('Age upon Outcome', '1 weeks')]",[0.55626905 0.65550331],1181,['Transfer' 'Partner']
"[('Age upon Outcome', '9 years')]",[1.3009948  1.15026769],1454,['Adoption' 'none']
"[('Age upon Outcome', '12 years')]",[1.43650022 1.38107775],1036,['Return to Owner' 'none']
"[('Age upon Outcome', '0 years')]",[0.73985748 0.76524882],237,['Transfer' 'Partner']
"[('Age upon Outcome', '4 days')]",[0.45712277 0.5645895 ],304,['Transfer' 'Partner']
"[('Age upon Outcome', '1 day')]",[0.48223242 0.53514816],443,['Transfer' 'Partner']
"[('Age upon Outcome', '5 weeks')]",[0.81769285 0.90350605],181,['Transfer' 'Partner']
"[('Age upon Outcome', '16 years')]",[1.31491969 1.09545228],179,['Return to Owner' 'none']
"[('Age upon Outcome', '5 days')]",[0.70745077 0.85592995],199,['Transfer' 'Partner']
"[('Age upon Outcome', '6 days')]",[0.4093489  0.46442582],307,['Transfer' 'Partner']
"[('Age upon Outcome', '18 years')]",[1.20969978 1.01142123],59,['Return to Owner' 'none']
"[('Age upon Outcome', '13 years')]",[1.41514781 1.27947817],660,['Return to Owner' 'none']
"[('Age upon Outcome', '17 years')]",[1.25465161 1.16828561],96,['Return to Owner' 'none']
"[('Age upon Outcome', '15 years'), ('Color', 'Black/White')]",[1.36125024 1.09287965],42,['Return to Owner' 'none']
"[('Age upon Outcome', '15 years'), ('Color', 'Black')]",[1.40175069 1.23856894],34,['Return to Owner' 'none']
"[('Age upon Outcome', '1 month'), ('Color', 'Seal Point')]",[1.12691039 1.41357096],44,['Adoption' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Tan')]",[0.9703883  1.35167107],113,['Adoption' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Brown')]",[1.05618285 1.41441742],122,['Adoption' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Black/White')]",[1.0767134  1.39593663],725,['Transfer' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Brown Tabby')]",[1.10570737 1.36120297],573,['Transfer' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Blue/White')]",[1.03430915 1.39371009],163,['Transfer' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Blue')]",[1.08431991 1.31280648],159,['Transfer' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'White/Black')]",[1.12844197 1.41177924],171,['Adoption' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Orange Tabby')]",[1.10734988 1.33649872],305,['Transfer' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Black/Tan')]",[0.94474503 1.2276921 ],96,['Adoption' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Black')]",[1.12860452 1.3747187 ],723,['Transfer' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Brown/White')]",[0.88159585 1.26495344],150,['Adoption' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'White/Blue')]",[1.29525957 1.33997874],31,['Transfer' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Brown Tabby/White')]",[1.19684487 1.46078518],291,['Adoption' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Torbie')]",[0.91166176 1.15731188],87,['Transfer' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Brown Brindle')]",[0.96908216 1.18921913],48,['Adoption' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Brown/Black')]",[1.09449304 1.34823482],129,['Adoption' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Tricolor')]",[0.76973802 1.13022872],151,['Adoption' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Black/Brown')]",[0.96384413 1.16335533],124,['Adoption' 'none']
"[('Age upon Outcome', '1 month'), ('Color', 'White')]",[1.18338521 1.35033784],107,['Transfer' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Cream Tabby')]",[1.11084737 1.43454175],75,['Adoption' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Orange Tabby/White')]",[1.18011573 1.44216058],147,['Adoption' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Blue Tabby')]",[1.07182711 1.26836032],155,['Transfer' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Tortie')]",[1.09200797 1.28850525],166,['Transfer' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Tan/Black')]",[0.78654403 1.08426046],42,['Transfer' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Brown Brindle/White')]",[0.95413798 1.08180209],66,['Adoption' 'none']
"[('Age upon Outcome', '1 month'), ('Color', 'Tan/White')]",[0.96101998 1.25389642],101,['Transfer' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Chocolate/White')]",[0.89959228 1.24448112],47,['Adoption' 'none']
"[('Age upon Outcome', '1 month'), ('Color', 'Calico')]",[1.1127396  1.44237951],121,['Adoption' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'White/Brown')]",[0.88836533 1.3718377 ],78,['Transfer' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Blue Tabby/White')]",[0.94500123 1.20778478],67,['Adoption' 'none']
"[('Age upon Outcome', '1 month'), ('Color', 'Cream')]",[0.87525894 1.26349383],32,['Adoption' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'White/Brown Tabby')]",[0.95047376 1.16467002],38,['Transfer' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Lynx Point')]",[1.12695615 1.43911007],63,['Transfer' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'White/Tan')]",[0.76679808 1.32272234],57,['Transfer' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Sable')]",[0.75328589 1.29497787],46,['Adoption' 'Partner']
"[('Age upon Outcome', '1 month'), ('Color', 'Sable/White')]",[0.68696158 1.15646894],36,['Adoption' 'Partner']
"[('Age upon Outcome', '4 years'), ('Color', 'Tan')]",[1.24996484 0.89506847],166,['Return to Owner' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Brown')]",[1.46230601 1.08201238],146,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Red')]",[1.18396377 0.99895677],88,['Return to Owner' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Black/White')]",[1.26366406 1.15559484],532,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Brown Tabby')]",[1.18665513 1.39441741],135,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Blue/White')]",[1.42913277 1.31132356],200,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Blue')]",[1.17054704 1.28960613],87,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'White/Black')]",[1.27325127 1.15386082],161,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Orange Tabby')]",[1.27327604 1.3534123 ],91,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Black/Tan')]",[1.05124505 0.81351796],172,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Black')]",[1.27753403 1.22384964],348,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Brown/White')]",[1.27991483 1.00325509],192,['Return to Owner' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Brown Tabby/White')]",[1.2233726  1.38007947],83,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Torbie')]",[1.17373722 1.15828515],30,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Brown Brindle')]",[1.1906699  0.83955769],68,['Return to Owner' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Brown/Black')]",[1.28679726 1.0186231 ],124,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Tricolor')]",[1.19493135 0.77834634],149,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Black/Brown')]",[1.26306912 0.8890428 ],133,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'White')]",[1.19411384 0.89492897],254,['Return to Owner' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Orange Tabby/White')]",[1.24795119 1.19327073],40,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Blue Tabby')]",[1.07546553 0.92285802],34,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Tortie')]",[1.17825527 1.3456898 ],46,['Transfer' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Tan/Black')]",[1.0646547  0.70729603],62,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Brown Brindle/White')]",[1.33587838 1.10540566],130,['Return to Owner' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Tan/White')]",[1.18964449 0.86107201],222,['Return to Owner' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Chocolate/White')]",[1.20718591 0.95204734],57,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Gray/White')]",[1.21726968 0.39267447],30,['Return to Owner' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Red/White')]",[1.19061279 0.84012531],85,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Calico')]",[1.1523255  1.06044107],61,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'White/Brown')]",[1.18318777 1.0456498 ],125,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Fawn/White')]",[0.90697649 0.51654552],34,['Return to Owner' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Cream')]",[1.33411902 1.07075314],35,['Adoption' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'Yellow')]",[0.6702597  0.26449144],34,['Return to Owner' 'none']
"[('Age upon Outcome', '4 years'), ('Color', 'White/Tan')]",[1.12431284 0.95897021],118,['Adoption' 'none']
"[('Age upon Outcome', '3 years'), ('Color', 'Tan')]",[1.24606283 1.0794782 ],262,['Adoption' 'none']
"[('Age upon Outcome', '3 years'), ('Color', 'Brown')]",[1.53789292 1.2767691 ],392,['Euthanasia' 'none']
"[('Age upon Outcome', '3 years'), ('Color', 'Red')]",[1.29115394 0.97405783],118,['Adoption' 'none']
"[('Age upon Outcome', '3 years'), ('Color', 'Black/White')]",[1.30066784 1.17176312],894,['Adoption' 'none']
"[('Age upon Outcome', '3 years'), ('Color', 'Brown Tabby')]",[1.29623422 1.47051201],254,['Adoption' 'none']
"[('Age upon Outcome', '3 years'), ('Color', 'Blue/White')]",[1.25384408 1.05436162],370,['Adoption' 'none']
